,Date,Close,Volume,rebased at 100
0,2022-09-01 00:00:00-04:00,139.32859802246094,117886500,100
1,2022-09-02 00:00:00-04:00,136.42945861816406,74259000,98
2,2022-09-06 00:00:00-04:00,134.61000061035156,53575100,97
20,2022-09-30 00:00:00-04:00,121.38999938964844,56486900,87
